date,position,weight,strategy_cum,spy_cum
2019-11-11,SPY,0.0,1.0003028144496573,1.0031883
2019-11-18,SPY,1.0,1.0117083610557718,1.0151283
2019-11-25,SPY,1.0,1.0160858414044638,1.0195205
2019-12-02,SPY,1.0,1.0104763348687809,1.013892
2019-12-09,SPY,1.0,1.0177394804451683,1.0211797
2019-12-16,SPY,1.0,1.035961981334997,1.0394638
2019-12-23,SPY,1.0,1.0466596006192908,1.0501975
2019-12-30,SPY,1.0,1.0462033734562544,1.0497397
2020-01-06,SPY,1.0,1.054545080761402,1.0581098
2020-01-13,SPY,1.0,1.0685884459439137,1.0722005
2020-01-20,SPY,1.0,1.0816219107150356,1.085278
2020-01-27,SPY,1.0,1.054088840305197,1.0576519
2020-02-03,SPY,1.0,1.0561092821309763,1.0596792
2020-02-10,SPY,1.0,1.0905177192928421,1.094204
2020-02-17,SPY,0.9753874707519247,1.0997925553242007,1.1037502
2020-02-24,SPY,0.9979928079453444,1.050428704238395,1.054121
2020-03-02,SPY,0.725502894605656,1.0188553500349653,1.0105395
2020-03-09,SPY,0.448764204127027,0.9672146756775866,0.8965685
2020-03-16,SPY,0.29801954152776694,0.9310494774549863,0.78416634
2020-03-23,SPY,0.16983615878988967,0.9207222777166731,0.73319966
2020-03-30,SPY,0.15984386420221544,0.9462661090209414,0.86046946
2020-04-06,SPY,0.14044709495539123,0.9479048228943494,0.87102586
2020-04-13,TLT,0.22461586492045985,0.9424688830670823,0.90654314
2020-04-20,SPY,0.17645552514476406,0.9458796339496102,0.926045
2020-04-27,SPY,0.2437159666807968,0.9503341290346636,0.9440008
2020-05-04,SPY,0.31907121684255463,0.9466364076710828,0.93255645
2020-05-11,SPY,0.3578754955353091,0.9573011061287722,0.96192396
2020-05-18,SPY,0.4652097851459342,0.9610688243774266,0.9701454
2020-05-25,SPY,0.47517037511505267,0.9617573944472252,0.9715924
2020-06-01,SPY,0.5525561597091325,0.9799178920314034,1.0048404
2020-06-08,SPY,0.6797934705314773,1.0183446304358774,1.0628844
2020-06-15,SPY,0.6479912193489543,0.9853673391398272,1.0097733
2020-06-22,SPY,0.45808598731255334,0.9925484346411794,1.0260087
2020-06-29,SPY,0.48955796538477697,0.9829117547793274,1.0056618
2020-07-06,SPY,0.4396639970619498,1.0007732502709783,1.0472473
2020-07-13,SPY,0.4539578009377884,0.99761461497568,1.0399477
2020-07-20,SPY,0.6782903753353471,1.0178862127296353,1.0712613
2020-07-27,SPY,0.7044037918421702,1.0154483252694735,1.067628
2020-08-03,SPY,0.9750553138427008,1.0323737798234864,1.0860261
2020-08-10,SPY,0.976741365232907,1.0531668841817208,1.1084211
2020-08-17,SPY,1.0,1.0604985244818268,1.1161503
2020-08-24,SPY,1.0,1.0762217913798453,1.1326988
2020-08-31,SPY,1.0,1.0962761952925981,1.1538055
2020-09-07,SPY,1.0,1.075123244396793,1.1315424
2020-09-14,SPY,0.78785360190323,1.0648521659647185,1.1179668
2020-09-21,SPY,0.6153741679887903,1.0450574047705463,1.0843375
2020-09-28,SPY,0.5930434326246272,1.058739837040939,1.1082814
2020-10-05,SPY,0.5339298003371292,1.0681396210962986,1.1267534
2020-10-12,SPY,0.6002533839289689,1.0920217473793432,1.168771
2020-10-19,SPY,0.6660604074613566,1.0704889379132583,1.1342151
2020-10-26,SPY,0.6662939338835978,1.0650320496378414,1.1255265
2020-11-02,SPY,0.7486342079753173,1.0434033063920645,1.0950495
2020-11-09,SPY,0.6187430969679023,1.0909715088838192,1.1758348
2020-11-16,SPY,0.5909002740237608,1.1055288431247274,1.2023991
2020-11-23,SPY,0.584065737573183,1.096431542190735,1.185452
2020-11-30,SPY,0.582858480404247,1.10466291033344,1.2007074
2020-12-07,SPY,0.819554190571505,1.1221137869328295,1.2240208
2020-12-14,SPY,1.0,1.1085444785082688,1.2093296
2020-12-21,SPY,1.0,1.1230389553077833,1.2251419
2020-12-28,SPY,1.0,1.1361970244084525,1.2394962
2021-01-04,SPY,1.0,1.1258781287937618,1.2282392
2021-01-11,SPY,1.0,1.1561020343360244,1.2612109
2021-01-18,SPY,1.0,1.1469738590665166,1.2512529
2021-01-25,SPY,1.0,1.1735035691059743,1.2801946
2021-02-01,SPY,1.0,1.14859185767215,1.253018
2021-02-08,SPY,0.7660075842014205,1.1818543399812038,1.3005769
2021-02-15,SPY,0.7930284269936325,1.1869527437303211,1.3076711
2021-02-22,SPY,0.8238599489103255,1.1729639414505157,1.288987
2021-03-01,SPY,0.8443263939614217,1.1794784808748753,1.2974795
2021-03-08,SPY,0.826052886041668,1.1598120231936713,1.271302
2021-03-15,SPY,0.777677742613826,1.194496911916904,1.3202263
2021-03-22,SPY,0.7289643229491304,1.1889023877336071,1.3117863
2021-03-29,SPY,0.6925626585646995,1.195572783779053,1.3224454
2021-04-05,SPY,0.766013790171171,1.2200120187546935,1.3577969
2021-04-12,SPY,1.0,1.2357213115074313,1.3754393
2021-04-19,SPY,1.0,1.2464383693142553,1.3873681
2021-04-26,SPY,1.0,1.2536432059319254,1.3953874
2021-05-03,SPY,1.0,1.2554144389275195,1.3973589
2021-05-10,SPY,1.0,1.2546340521706478,1.3964903
2021-05-17,SPY,1.0,1.2473692783468997,1.3884041
2021-05-24,SPY,0.9055616908219709,1.2572331794948708,1.4006002
2021-05-31,SPY,0.9251090562054348,1.2596353588006215,1.4035074
2021-06-07,SPY,0.9485132473691946,1.2657363486125905,1.4106913
2021-06-14,SPY,0.9668282266717032,1.2746238126633123,1.4209496
2021-06-21,SPY,1.0,1.2655410846822817,1.4108477
2021-06-28,SPY,1.0,1.2854177518228918,1.4330065
2021-07-05,SPY,1.0,1.3042115631948827,1.4539582
2021-07-12,SPY,1.0,1.314315205258713,1.4652219
2021-07-19,SPY,1.0,1.277899890922433,1.4246255
2021-07-26,SPY,1.0,1.326162555722445,1.4784296
2021-08-02,SPY,1.0,1.315848547570212,1.4669313
2021-08-09,SPY,1.0,1.3295003495072655,1.4821506
2021-08-16,SPY,1.0,1.3440545337766463,1.4983759
2021-08-23,SPY,1.0,1.344926952291901,1.4993484
2021-08-30,SPY,1.0,1.3598714259253135,1.5160089
2021-09-06,SPY,1.0,1.3624277275805363,1.5188586
2021-09-13,SPY,1.0,1.3428819285529094,1.4970686
2021-09-20,SPY,1.0,1.3093549760020706,1.4596922
2021-09-27,SPY,1.0,1.3352983983095954,1.4886144
2021-10-04,SPY,1.0,1.2930647677668996,1.4415317
