Date,taylor_policy_spread,us2y_ffr_divergence,net_liquidity_momentum,shadow_liquidity_momentum,hy_spread_velocity,ccc_bb_spread_dispersion,t_bill_drain_ratio
2003-03-14,-0.7337401367701166,0.41999999999999993,0.016492825641866382,0.016356237717881653,0.01568154402895061,11.95,0.2855671067226864
2003-03-15,-0.7337401367701166,0.41999999999999993,0.016492825641866382,0.016356237717881653,0.01568154402895061,11.95,0.2855671067226864
2003-03-16,-0.7337401367701166,0.41999999999999993,0.016492825641866382,0.016356237717881653,0.01568154402895061,11.95,0.2855671067226864
2003-03-17,-0.6937401367701166,0.3500000000000001,0.016492825641866382,0.016356237717881653,0.02436053593179044,11.879999999999999,0.2855671067226864
2003-03-18,-0.6637401367701166,0.30000000000000004,0.016492825641866382,0.016356237717881653,0.020531400966183666,11.959999999999999,0.2855671067226864
2003-03-19,-0.6637401367701166,0.29000000000000004,0.004411540073123943,0.004375005211648521,0.025516403402187082,11.850000000000001,0.2855671067226864
2003-03-20,-0.6337401367701165,0.27,0.004411540073123943,0.004375005211648521,0.005988023952095967,11.799999999999999,0.2855671067226864
2003-03-21,-0.6137401367701165,0.19999999999999996,-0.014641570236231027,-0.014548007742545341,-0.0011918951132300348,12.600000000000001,0.2943795192288838
2003-03-22,-1.108269331930559,0.19999999999999996,-0.014641570236231027,-0.014548007742545341,-0.0011918951132300348,12.600000000000001,0.2943795192288838
2003-03-23,-1.108269331930559,0.19999999999999996,-0.014641570236231027,-0.014548007742545341,-0.0011918951132300348,12.600000000000001,0.2943795192288838
2003-03-24,-1.108269331930559,0.18999999999999995,-0.014641570236231027,-0.014548007742545341,-0.007185628742515049,12.54,0.2943795192288838
2003-03-25,-1.238269331930559,0.29000000000000004,-0.014641570236231027,-0.014548007742545341,-0.007168458781361853,12.479999999999999,0.2943795192288838
2003-03-26,-1.218269331930559,0.24,-0.013254401750939282,-0.013169703534824379,-0.020000000000000018,12.500000000000002,0.2943795192288838
2003-03-27,-1.208269331930559,0.24,-0.013254401750939282,-0.013169703534824379,-0.04372842347525885,12.51,0.2943795192288838
2003-03-28,-1.238269331930559,0.18999999999999995,-0.011347451300177114,-0.01126958634407396,-0.0324825986078886,12.439999999999998,0.2943795192288838
2003-03-29,-1.238269331930559,0.18999999999999995,-0.011347451300177114,-0.01126958634407396,-0.0324825986078886,12.439999999999998,0.2943795192288838
2003-03-30,-1.238269331930559,0.18999999999999995,-0.011347451300177114,-0.01126958634407396,-0.0324825986078886,12.439999999999998,0.2943795192288838
2003-03-31,-1.0482186022070215,0.1200000000000001,-0.011347451300177114,-0.01126958634407396,-0.023310023310023187,12.510000000000002,0.2943795192288838
2003-04-01,-1.0682186022070215,0.16999999999999993,-0.011347451300177114,-0.01126958634407396,-0.026869158878504718,12.509999999999998,0.2943795192288838
2003-04-02,-1.0482186022070215,0.21999999999999997,-0.019504723283625625,-0.01937088402914388,-0.02461899179366933,12.48,0.2943795192288838
2003-04-03,-0.9682186022070214,0.28,-0.019504723283625625,-0.01937088402914388,-0.04112808460634543,12.46,0.2943795192288838
2003-04-04,-0.9782186022070214,0.26,-0.009896610671648154,-0.009830579665691208,-0.029691211401425166,12.36,0.2943795192288838
2003-04-05,-0.9782186022070214,0.26,-0.009896610671648154,-0.009830579665691208,-0.029691211401425166,12.36,0.2943795192288838
2003-04-06,-0.9782186022070214,0.26,-0.009896610671648154,-0.009830579665691208,-0.029691211401425166,12.36,0.2943795192288838
2003-04-07,-0.9682186022070214,0.31999999999999984,-0.009896610671648154,-0.009830579665691208,-0.0439952437574318,12.239999999999998,0.2943795192288838
2003-04-08,-1.0782186022070215,0.52,-0.009896610671648154,-0.009830579665691208,-0.06390532544378691,12.11,0.2943795192288838
2003-04-09,-1.0782186022070215,0.52,0.008359262963308023,0.008290536115463371,-0.06635071090047384,11.96,0.2943795192288838
2003-04-10,-1.0482186022070215,0.52,0.008361001651057798,0.008305216355652826,-0.06666666666666676,12.01,0.2943795192288838
2003-04-11,-1.0782186022070215,0.6000000000000001,0.014148818600226543,0.014045778628307646,-0.08233890214797135,11.969999999999999,0.2943795192288838
2003-04-12,-1.0782186022070215,0.6000000000000001,0.014148818600226543,0.014045778628307646,-0.08233890214797135,11.969999999999999,0.2943795192288838
2003-04-13,-1.0782186022070215,0.6000000000000001,0.014148818600226543,0.014045778628307646,-0.08233890214797135,11.969999999999999,0.2943795192288838
2003-04-14,-1.0482186022070215,0.48,0.014148818600226543,0.014045778628307646,-0.05790108564535579,11.94,0.2943795192288838
2003-04-15,-1.0382186022070214,0.44999999999999996,0.014148818600226543,0.014045778628307646,-0.06137184115523475,11.969999999999999,0.2943795192288838
2003-04-16,-1.0182186022070214,0.41999999999999993,0.005977645034483725,0.0059341123273441345,-0.06602641056422565,11.920000000000002,0.2943795192288838
2003-04-17,-0.9882186022070214,0.33000000000000007,0.005977645034483725,0.0059341123273441345,-0.06618531889290025,11.86,0.2943795192288838
2003-04-18,-1.0182186022070214,0.30000000000000004,-0.014684442739305581,-0.01456207121922188,-0.07074340527577938,11.809999999999999,0.2943795192288838
2003-04-19,-1.0182186022070214,0.30000000000000004,-0.014684442739305581,-0.01456207121922188,-0.07074340527577938,11.809999999999999,0.2943795192288838
2003-04-20,-1.0182186022070214,0.30000000000000004,-0.014684442739305581,-0.01456207121922188,-0.07074340527577938,11.809999999999999,0.2943795192288838
2003-04-21,-0.8982186022070215,0.13000000000000012,-0.014684442739305581,-0.01456207121922188,-0.07875894988066834,11.98,0.30187389865808356
2003-04-22,-1.2670415133998878,0.20999999999999996,-0.014684442739305581,-0.01456207121922188,-0.08643457382953179,11.52,0.30187389865808356
2003-04-23,-1.3670415133998879,0.41000000000000014,-0.00414074703351508,-0.004106240480030654,-0.11538461538461542,11.32,0.30187389865808356
2003-04-24,-1.3170415133998878,0.31000000000000005,-0.00414074703351508,-0.004106240480030654,-0.10416666666666674,11.17,0.30187389865808356
2003-04-25,-1.3370415133998879,0.33000000000000007,0.029973910467981923,0.029672745433910064,-0.11383108935128516,11.13,0.30187389865808356
2003-04-26,-1.3370415133998879,0.33000000000000007,0.029973910467981923,0.029672745433910064,-0.11383108935128516,11.13,0.30187389865808356
2003-04-27,-1.3370415133998879,0.33000000000000007,0.029973910467981923,0.029672745433910064,-0.11383108935128516,11.13,0.30187389865808356
2003-04-28,-1.3070415133998878,0.3999999999999999,0.029973910467981923,0.029672745433910064,-0.11567164179104461,10.93,0.30187389865808356
2003-04-29,-1.3370415133998879,0.3700000000000001,0.02997072190486172,0.02964591496459781,-0.08849557522123896,11.08,0.30187389865808356
2003-04-30,-1.3170415133998878,0.31000000000000005,0.022179645063324926,0.02195679347482986,-0.07233502538071068,11.14,0.30187389865808356
2003-05-01,-0.7292146596858715,0.33000000000000007,0.022179645063324926,0.02195679347482986,-0.0714285714285714,11.07,0.30187389865808356
2003-05-02,-0.7592146596858715,0.4099999999999999,0.009866279501183683,0.00979235537620737,-0.062418725617685356,10.94,0.30187389865808356
2003-05-03,-0.7592146596858715,0.4099999999999999,0.009866279501183683,0.00979235537620737,-0.062418725617685356,10.94,0.30187389865808356
2003-05-04,-0.7592146596858715,0.4099999999999999,0.009869814217320805,0.009821883906325775,-0.062418725617685356,10.94,0.30187389865808356
2003-05-05,-0.6792146596858715,0.41999999999999993,0.009866279501183683,0.00979235537620737,-0.08834827144686297,10.85,0.30187389865808356
2003-05-06,-0.6592146596858715,0.34999999999999987,0.009866279501183683,0.00979235537620737,-0.09358974358974348,10.56,0.30187389865808356
2003-05-07,-0.7392146596858715,0.4099999999999999,0.035165509043739496,0.03490202781101185,-0.09383033419023146,10.54,0.30187389865808356
2003-05-08,-0.7192146596858715,0.42999999999999994,0.035165509043739496,0.03490202781101185,-0.10180412371134018,10.5,0.30187389865808356
2003-05-09,-0.7592146596858715,0.47,0.04342082980524986,0.04313587492166481,-0.10064516129032264,10.5,0.30187389865808356
2003-05-10,-0.7592146596858715,0.47,0.04342082980524986,0.04313587492166481,-0.10064516129032264,10.5,0.30187389865808356
2003-05-11,-0.7592146596858715,0.47,0.04342082980524986,0.04313587492166481,-0.10064516129032264,10.5,0.30187389865808356
2003-05-12,-0.7092146596858715,0.41999999999999993,0.04342082980524986,0.04313587492166481,-0.10362694300518138,10.489999999999998,0.30187389865808356
2003-05-13,-0.7392146596858715,0.43999999999999995,0.04342082980524986,0.04313587492166481,-0.09855453350854138,10.39,0.30187389865808356
2003-05-14,-0.7592146596858715,0.45999999999999996,0.020738075077617824,0.020601978743300327,-0.08831521739130443,10.120000000000001,0.30187389865808356
2003-05-15,-0.7592146596858715,0.3800000000000001,0.020738075077617824,0.020601978743300327,-0.0848153214774281,10.11,0.30187389865808356
2003-05-16,-0.7192146596858715,0.29000000000000004,-0.00283586451819251,-0.0028162650602409638,-0.07734806629834257,10.030000000000001,0.30187389865808356
2003-05-17,-0.7192146596858715,0.29000000000000004,-0.00283586451819251,-0.0028162650602409638,-0.07734806629834257,10.030000000000001,0.30187389865808356
2003-05-18,-0.7192146596858715,0.29000000000000004,-0.00283586451819251,-0.0028162650602409638,-0.07734806629834257,10.030000000000001,0.30187389865808356
2003-05-19,-0.7092146596858715,0.30000000000000004,-0.00283586451819251,-0.0028162650602409638,-0.06610407876230673,10.02,0.30187389865808356
2003-05-20,-0.7292146596858715,0.3500000000000001,-0.00283586451819251,-0.0028162650602409638,-0.09153952843273239,9.93,0.30187389865808356
2003-05-21,-0.6892146596858715,0.19999999999999996,0.01679046862764566,0.016674424972617743,-0.11901504787961681,9.719999999999999,0.2954913491166423
2003-05-22,-0.7777486910994733,0.19999999999999996,0.01679046862764566,0.016674424972617743,-0.125,9.620000000000001,0.2954913491166423
2003-05-23,-0.8377486910994734,0.32000000000000006,0.029020650704378648,0.028809662317515722,-0.13176144244105414,9.5,0.2954913491166423
2003-05-24,-0.8377486910994734,0.32000000000000006,0.029020650704378648,0.028809662317515722,-0.13176144244105414,9.5,0.2954913491166423
2003-05-25,-0.8377486910994734,0.32000000000000006,0.029020650704378648,0.028809662317515722,-0.13176144244105414,9.5,0.2954913491166423
2003-05-26,-0.8077486910994733,0.28,0.029020650704378648,0.028809662317515722,-0.1221910112359551,9.43,0.2954913491166423
2003-05-27,-0.7977486910994733,0.16999999999999993,0.029020650704378648,0.028809662317515722,-0.10325318246110327,9.450000000000001,0.2954913491166423
2003-05-28,-0.7977486910994733,0.16999999999999993,0.013424841397958298,0.013327238981689244,-0.08368794326241136,9.44,0.2954913491166423
2003-05-29,-0.8077486910994733,0.21999999999999997,0.013424841397958298,0.013327238981689244,-0.06025824964131998,9.600000000000001,0.2954913491166423
2003-05-30,-0.8377486910994734,0.20999999999999996,0.012000167191462019,0.011918649302773546,-0.0631276901004304,9.64,0.2954913491166423
2003-05-31,-0.8377486910994734,0.20999999999999996,0.012000167191462019,0.011918649302773546,-0.0631276901004304,9.64,0.2954913491166423
2003-06-01,-0.5998065865133093,0.20999999999999996,0.012000167191462019,0.011918649302773546,-0.0631276901004304,9.64,0.2954913491166423
2003-06-02,-0.5898065865133093,0.20999999999999996,0.012000167191462019,0.011918649302773546,-0.056358381502890076,9.55,0.2954913491166423
2003-06-03,-0.6098065865133093,0.24,0.012000167191462019,0.011918649302773546,-0.04810495626822153,9.48,0.2954913491166423
2003-06-04,-0.5398065865133093,0.10999999999999988,0.021584417755733165,0.021437793451592684,-0.01341281669150518,9.469999999999999,0.2954913491166423
2003-06-05,-0.4798065865133092,0.09999999999999987,0.021584417755733165,0.021437793451592684,-0.02092675635276542,9.36,0.2954913491166423
2003-06-06,-0.5798065865133093,0.11999999999999988,0.030083532588386364,0.029865525638272057,-0.007485029940119681,9.34,0.2954913491166423
2003-06-07,-0.5798065865133093,0.11999999999999988,0.030083532588386364,0.029865525638272057,-0.007485029940119681,9.34,0.2954913491166423
2003-06-08,-0.5798065865133093,0.11999999999999988,0.030083532588386364,0.029865525638272057,-0.007485029940119681,9.34,0.2954913491166423
2003-06-09,-0.5798065865133093,0.09000000000000008,0.030083532588386364,0.029865525638272057,0.003012048192771122,9.389999999999999,0.2954913491166423
2003-06-10,-0.6098065865133093,0.08000000000000007,0.030083532588386364,0.029865525638272057,0.03358778625954195,9.38,0.2954913491166423
2003-06-11,-0.6098065865133093,0.1499999999999999,0.022452368442495096,0.022289662405476043,0.05590062111801242,9.52,0.2954913491166423
2003-06-12,-0.5898065865133093,0.1100000000000001,0.022452368442495096,0.022289662405476043,0.07692307692307687,9.44,0.2954913491166423
2003-06-13,-0.6298065865133093,0.16999999999999993,0.003941345713161404,0.003927297810864982,0.09744408945686911,9.4,0.2954913491166423
2003-06-14,-0.6298065865133093,0.16999999999999993,0.003939614646096823,0.003912741480950731,0.09744408945686911,9.4,0.2954913491166423
2003-06-15,-0.6298065865133093,0.16999999999999993,0.003939614646096823,0.003912741480950731,0.09744408945686911,9.4,0.2954913491166423
2003-06-16,-0.6298065865133093,0.16999999999999993,0.003939614646096823,0.003912741480950731,0.09919999999999995,9.43,0.2954913491166423
2003-06-17,-0.5198065865133092,0.010000000000000009,0.003939614646096823,0.003912741480950731,0.08517350157728698,9.44,0.2954913491166423
