unique_id,ds,cutoff,xLSTM-lo-80.0,xLSTM-median,xLSTM-hi-80.0,y
SPY,2006-08-23,2006-08-11,88.06671,89.26812,90.36098,90.08332824707031
SPY,2006-08-24,2006-08-11,87.26496,88.83856,90.33716,90.00698852539062
SPY,2006-08-25,2006-08-11,87.50283,88.47201,89.317184,90.11805725097656
SPY,2006-08-28,2006-08-25,89.03922,89.85434,90.75548,90.5484848022461
SPY,2006-08-29,2006-08-25,88.942184,89.9814,91.25182,90.65260314941406
SPY,2006-08-30,2006-08-25,88.21506,89.84072,91.51036,90.70809936523438
SPY,2006-08-31,2006-08-25,88.86011,90.06393,91.35082,90.6942367553711
SPY,2006-09-01,2006-08-25,88.933914,89.99934,91.02036,91.23574829101562
SPY,2006-09-05,2006-08-25,88.495384,90.1743,91.7114,91.40931701660156
SPY,2006-09-06,2006-08-25,88.7691,90.228645,91.55253,90.6039810180664
SPY,2006-09-07,2006-08-25,88.958534,90.82824,92.43346,90.18746185302734
SPY,2006-09-08,2006-08-25,88.992584,90.16097,91.82509,90.44434356689453
SPY,2006-09-11,2006-08-25,89.17472,90.587776,92.10277,90.53459167480469
SPY,2006-09-12,2006-09-11,90.705345,91.09263,91.65516,91.42321014404297
SPY,2006-09-13,2006-09-11,90.17616,91.0741,92.04292,91.79112243652344
SPY,2006-09-14,2006-09-11,89.71676,90.87732,92.37496,91.79808044433594
SPY,2006-09-15,2006-09-11,90.16088,91.0997,92.28596,92.01354217529297
SPY,2006-09-18,2006-09-11,90.42769,91.046005,91.93515,92.13902282714844
SPY,2006-09-19,2006-09-11,89.98713,91.05475,92.25479,91.90895080566406
SPY,2006-09-20,2006-09-11,90.034935,91.72846,93.230385,92.39706420898438
SPY,2006-09-21,2006-09-11,90.93931,91.14779,91.875,91.95079040527344
SPY,2006-09-22,2006-09-11,90.40625,90.82781,92.00348,91.67185974121094
SPY,2006-09-25,2006-09-11,90.793335,91.10804,91.98932,92.37613677978516
